EmployeeNumber,Age,Department,JobRole,Gender,Education,MaritalStatus,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,Attrition
1036,38,Sales,Sales Executive,Male,4,Single,3,4,2,3,1,Yes,19,1,0,0,0,6861,12,No
1037,26,Sales,Sales Executive,Male,2,Single,3,1,2,3,6,No,7,2,2,2,2,4969,18,Yes
1038,52,Sales,Manager,Female,1,Married,3,4,1,3,3,No,33,32,14,6,9,19845,15,Yes
1039,44,Sales,Sales Executive,Female,3,Married,3,4,4,3,2,Yes,23,12,11,11,11,13320,18,No
1040,50,Sales,Sales Executive,Female,3,Married,3,3,4,3,3,No,19,18,7,0,13,6347,12,No
1042,36,Research & Development,Laboratory Technician,Female,4,Single,3,1,3,3,1,No,18,17,13,15,14,2743,16,Yes
1043,39,Research & Development,Manufacturing Director,Female,3,Single,3,1,4,3,2,Yes,21,21,6,2,8,10880,13,No
1044,33,Sales,Sales Representative,Female,1,Single,3,4,2,2,2,No,3,2,2,2,2,2342,19,No
1045,45,Sales,Manager,Female,2,Married,3,4,4,4,4,No,26,9,3,1,1,17650,13,No
1046,32,Research & Development,Laboratory Technician,Female,4,Single,3,3,4,3,2,No,10,8,7,7,7,4025,12,No
1047,34,Sales,Sales Executive,Male,4,Divorced,3,4,2,2,2,No,16,15,1,0,9,9725,11,No
1048,59,Sales,Manager,Male,2,Married,3,4,2,1,1,Yes,14,6,4,0,4,11904,14,No
1049,45,Human Resources,Human Resources,Male,4,Single,3,2,2,3,3,No,6,6,3,0,4,2177,16,No
1050,53,Sales,Sales Executive,Female,3,Married,3,2,3,3,2,No,30,15,7,6,12,7525,12,No
1052,36,Research & Development,Laboratory Technician,Male,3,Divorced,3,3,1,2,3,No,9,1,0,0,0,4834,14,Yes
1053,26,Research & Development,Research Scientist,Male,3,Married,3,1,1,3,2,Yes,6,3,2,1,2,2042,14,Yes
1055,34,Sales,Sales Representative,Female,4,Married,3,3,3,3,2,Yes,1,1,1,0,0,2220,19,No
1056,28,Sales,Sales Representative,Male,1,Married,4,2,4,3,5,No,1,1,0,0,0,1052,22,No
1060,38,Research & Development,Research Scientist,Male,4,Married,3,3,3,3,2,No,8,2,2,2,2,2821,16,No
1061,50,Research & Development,Research Director,Male,4,Married,3,3,2,2,2,Yes,29,8,1,7,7,19237,11,No
1062,37,Research & Development,Healthcare Representative,Female,3,Single,3,2,4,2,3,No,8,4,3,0,1,4107,15,No
1066,40,Sales,Sales Executive,Male,3,Married,3,1,3,2,3,No,8,7,7,7,5,8396,14,No
1068,26,Research & Development,Research Scientist,Female,1,Divorced,3,3,1,3,5,No,5,5,3,1,3,2007,13,No
1069,46,Research & Development,Research Director,Male,4,Divorced,3,4,4,3,0,No,23,2,2,2,2,19627,17,No
1070,54,Sales,Sales Executive,Female,4,Married,3,3,3,3,4,No,13,9,4,7,0,10686,11,No
1071,56,Research & Development,Research Scientist,Female,3,Married,3,3,1,3,4,No,18,5,4,0,3,2942,19,No
1073,36,Research & Development,Manufacturing Director,Female,5,Single,3,4,4,2,2,No,15,14,8,7,8,8858,11,No
1074,55,Research & Development,Manager,Male,1,Single,3,1,3,4,3,No,31,9,7,6,2,16756,15,No
1076,43,Sales,Sales Executive,Male,3,Divorced,3,4,3,3,5,No,18,1,0,0,0,10798,13,No
1077,20,Sales,Sales Representative,Female,3,Single,3,4,4,3,3,Yes,2,2,2,0,2,2323,14,Yes
1079,21,Research & Development,Laboratory Technician,Female,3,Single,3,1,3,2,6,No,1,1,0,1,0,1416,13,Yes
1080,46,Research & Development,Research Scientist,Female,4,Divorced,4,1,4,3,2,Yes,19,16,13,1,7,4615,23,No
1081,51,Research & Development,Research Scientist,Male,4,Married,3,3,1,4,2,Yes,18,10,0,2,7,2461,12,Yes
1082,28,Research & Development,Healthcare Representative,Male,2,Single,3,1,2,2,2,No,10,10,7,1,9,8722,12,Yes
1083,26,Research & Development,Laboratory Technician,Male,2,Married,3,1,1,3,2,No,6,5,3,1,3,3955,16,No
1084,30,Research & Development,Manufacturing Director,Male,3,Married,3,1,3,2,1,No,7,6,2,0,2,9957,15,No
1085,41,Research & Development,Research Scientist,Female,2,Married,3,3,2,3,3,No,10,10,6,0,8,3376,13,No
1088,38,Research & Development,Healthcare Representative,Female,1,Married,3,3,3,2,4,No,20,19,9,1,9,8823,18,No
1092,40,Research & Development,Healthcare Representative,Male,4,Married,4,4,1,3,6,No,14,11,10,11,1,10322,20,No
1094,27,Research & Development,Laboratory Technician,Male,5,Married,3,3,1,3,4,No,3,3,2,1,2,4621,19,No
1096,55,Research & Development,Manufacturing Director,Male,1,Married,3,2,4,3,4,No,23,3,2,1,2,10976,18,No
1097,28,Research & Development,Research Scientist,Female,3,Single,3,3,3,4,4,No,10,8,7,1,7,3660,13,No
1098,44,Human Resources,Human Resources,Male,2,Married,3,1,2,3,1,No,24,20,6,3,6,10482,14,Yes
1099,33,Research & Development,Healthcare Representative,Male,3,Divorced,3,4,4,3,2,No,9,3,2,1,2,7119,15,No
1100,35,Sales,Sales Executive,Male,3,Single,4,1,4,3,2,Yes,9,8,7,4,7,9582,22,Yes
1101,33,Research & Development,Research Scientist,Female,4,Single,4,3,1,3,4,No,14,13,7,3,8,4508,22,Yes
1102,28,Research & Development,Laboratory Technician,Male,2,Divorced,3,3,1,2,5,No,4,4,2,2,2,2207,16,No
1103,34,Research & Development,Healthcare Representative,Male,1,Single,3,4,1,2,1,No,7,6,2,0,4,7756,17,No
1105,37,Sales,Sales Executive,Female,4,Divorced,3,4,4,3,5,Yes,8,1,0,0,0,6694,14,No
1106,25,Research & Development,Laboratory Technician,Male,1,Married,3,4,4,4,3,Yes,7,7,7,5,6,3691,15,Yes
1107,26,Research & Development,Laboratory Technician,Male,3,Divorced,4,3,1,2,0,No,1,1,1,0,0,2377,20,Yes
1108,33,Research & Development,Research Scientist,Male,3,Single,4,2,1,3,0,Yes,5,2,2,2,2,2313,20,Yes
1109,42,Research & Development,Manager,Male,2,Married,3,1,4,3,3,No,23,22,6,13,7,17665,17,No
1111,28,Research & Development,Laboratory Technician,Male,3,Divorced,3,2,1,3,2,No,1,1,0,0,0,2596,15,Yes
1113,50,Sales,Sales Executive,Male,4,Single,3,3,4,3,4,Yes,5,0,0,0,0,4728,14,Yes
1114,33,Sales,Sales Executive,Female,3,Married,3,2,4,3,3,No,4,3,2,0,2,4302,17,No
1115,34,Research & Development,Research Scientist,Male,4,Married,3,4,3,3,2,No,6,0,0,0,0,2979,17,No
1116,48,Research & Development,Manager,Male,4,Single,4,4,1,2,3,No,27,5,4,2,1,16885,22,No
1117,45,Sales,Sales Executive,Female,4,Married,3,3,2,3,2,No,15,15,10,4,12,5593,13,No
1118,52,Research & Development,Healthcare Representative,Male,4,Single,3,2,2,3,4,No,18,8,6,4,0,10445,19,No
1119,38,Sales,Sales Executive,Male,4,Divorced,3,3,3,3,2,Yes,9,8,7,2,7,8740,14,No
1120,29,Research & Development,Research Scientist,Female,4,Divorced,4,4,3,3,1,No,11,7,5,1,7,2514,22,No
1121,28,Research & Development,Manufacturing Director,Female,3,Divorced,3,2,4,2,3,No,10,9,7,1,7,7655,17,No
1124,46,Sales,Manager,Male,1,Married,3,3,1,3,3,No,23,12,9,4,9,17465,12,No
1125,38,Sales,Sales Executive,Male,2,Single,3,2,4,3,2,No,10,1,0,0,0,7351,16,No
1126,43,Research & Development,Manufacturing Director,Female,3,Married,3,1,3,3,1,No,18,8,7,0,1,10820,11,No
1127,39,Research & Development,Healthcare Representative,Male,3,Divorced,3,4,1,3,4,No,21,18,7,11,5,12169,11,Yes
1128,40,Research & Development,Research Director,Male,3,Single,3,3,3,4,2,No,21,20,7,4,9,19626,14,No
1131,21,Research & Development,Research Scientist,Female,1,Single,3,2,4,4,6,Yes,2,2,2,2,2,2070,11,No
1132,39,Research & Development,Laboratory Technician,Male,3,Single,3,2,3,2,2,No,9,5,4,0,3,6782,15,No
1133,36,Research & Development,Manufacturing Director,Male,4,Single,4,4,1,3,0,No,18,11,9,0,9,7779,20,No
1135,31,Sales,Sales Representative,Male,3,Married,3,4,3,3,4,No,3,2,2,2,2,2791,12,No
1136,28,Research & Development,Research Scientist,Male,1,Married,3,2,1,1,2,No,6,5,3,0,4,3201,17,No
1137,35,Sales,Sales Executive,Male,2,Divorced,3,4,4,3,3,No,5,5,2,0,2,4968,11,No
1138,49,Sales,Sales Executive,Male,4,Married,3,2,4,3,3,No,22,9,8,2,3,13120,17,No
1140,34,Research & Development,Manufacturing Director,Male,2,Single,3,3,4,2,3,No,5,3,2,0,2,4033,11,No
1143,29,Research & Development,Research Scientist,Female,3,Divorced,3,2,4,2,2,No,8,7,5,1,1,3291,14,No
1148,42,Research & Development,Laboratory Technician,Male,3,Single,3,4,2,3,3,No,16,1,0,0,0,4272,19,No
1150,29,Research & Development,Manufacturing Director,Male,1,Married,3,4,2,2,2,Yes,10,10,7,1,2,5056,15,No
1152,38,Human Resources,Human Resources,Male,3,Married,3,3,3,4,2,No,7,7,6,5,0,2844,13,No
1154,28,Research & Development,Research Scientist,Male,3,Divorced,3,3,3,3,2,Yes,3,3,1,0,2,2703,14,No
1156,18,Research & Development,Laboratory Technician,Male,1,Single,3,3,3,3,0,No,0,0,0,0,0,1904,12,Yes
1157,33,Sales,Sales Executive,Female,4,Single,3,1,1,3,3,Yes,6,5,2,0,3,8224,17,Yes
1158,41,Research & Development,Laboratory Technician,Male,4,Married,3,4,2,3,4,Yes,6,1,0,0,0,4766,11,No
1160,31,Research & Development,Laboratory Technician,Male,3,Married,3,3,3,2,5,No,2,2,2,2,2,2610,12,Yes
1161,37,Research & Development,Healthcare Representative,Female,2,Divorced,3,4,3,3,2,No,9,6,2,1,3,5731,13,No
1162,27,Research & Development,Research Scientist,Male,3,Married,3,3,4,3,0,No,4,4,2,2,2,2539,13,No
1163,34,Sales,Sales Executive,Female,1,Married,4,3,2,2,3,No,6,6,5,1,3,5714,20,No
1164,35,Human Resources,Human Resources,Male,4,Single,3,3,3,1,2,No,6,5,4,1,4,4323,17,No
1165,29,Sales,Sales Executive,Female,1,Married,3,1,4,1,3,No,11,11,8,3,10,7336,13,Yes
1166,40,Research & Development,Research Director,Female,4,Single,3,3,2,2,3,No,20,18,7,2,13,13499,17,No
1167,42,Sales,Sales Executive,Male,3,Single,3,1,3,2,2,Yes,22,21,9,13,14,13758,12,Yes
1171,42,Sales,Sales Executive,Male,4,Single,3,1,2,4,3,No,9,6,4,1,5,5155,13,No
1172,35,Research & Development,Laboratory Technician,Male,4,Married,3,3,4,3,2,No,10,8,0,1,7,2258,12,No
1173,24,Research & Development,Laboratory Technician,Male,3,Single,4,2,4,3,2,No,6,4,3,1,2,3597,22,No
1175,28,Research & Development,Laboratory Technician,Female,1,Married,3,4,3,2,4,Yes,1,1,1,0,0,2515,11,Yes
1177,26,Research & Development,Laboratory Technician,Male,4,Married,4,4,1,3,2,No,8,8,7,0,7,4420,22,No
1179,30,Sales,Sales Executive,Male,3,Married,3,3,3,3,3,No,10,10,3,1,4,6578,18,No
1180,40,Research & Development,Research Scientist,Female,2,Married,3,4,3,1,3,Yes,16,1,1,0,0,4422,13,No
1182,35,Research & Development,Manufacturing Director,Male,3,Divorced,3,2,3,4,2,No,15,7,7,6,4,10274,18,No
1184,34,Research & Development,Healthcare Representative,Male,3,Single,4,1,4,3,3,No,14,13,9,4,9,5343,20,No
1185,35,Research & Development,Laboratory Technician,Male,4,Married,3,4,4,4,2,No,2,2,2,2,2,2376,13,No
1188,43,Sales,Sales Executive,Female,3,Single,3,3,1,2,2,No,7,4,3,1,3,5346,13,Yes
1190,32,Sales,Sales Representative,Female,1,Divorced,3,1,3,3,3,No,1,1,0,0,0,2827,12,No
1191,56,Research & Development,Manager,Female,4,Divorced,3,1,4,3,2,No,28,5,2,4,2,19943,13,No
1192,29,Research & Development,Laboratory Technician,Female,1,Married,3,4,2,3,5,No,10,10,8,0,8,3131,13,No
1193,19,Research & Development,Research Scientist,Male,2,Single,4,1,3,3,4,No,1,1,1,0,0,2552,25,No
1195,45,Research & Development,Research Scientist,Female,3,Married,3,3,1,2,2,Yes,7,3,2,0,2,4477,19,No
1196,37,Research & Development,Manufacturing Director,Female,3,Married,3,4,4,2,2,No,14,14,8,3,11,6474,13,No
1198,20,Research & Development,Laboratory Technician,Male,3,Single,3,3,1,2,2,No,2,2,2,1,2,3033,12,No
1200,44,Research & Development,Research Scientist,Male,4,Single,3,3,3,3,4,Yes,6,6,4,0,2,2936,11,Yes
1201,53,Research & Development,Manager,Female,2,Divorced,3,3,4,3,6,No,26,7,7,4,7,18606,18,No
1202,29,Research & Development,Research Scientist,Female,1,Married,3,4,2,2,2,Yes,6,5,4,1,3,2168,18,No
1203,22,Research & Development,Research Scientist,Male,4,Married,3,4,3,3,5,Yes,1,0,0,0,0,2853,11,Yes
1204,46,Sales,Manager,Female,3,Married,4,1,3,3,2,No,28,26,15,15,9,17048,23,No
1206,44,Research & Development,Research Scientist,Male,3,Single,3,3,4,3,3,No,6,0,0,0,0,2290,13,No
1207,33,Human Resources,Human Resources,Male,3,Married,3,3,2,3,2,No,5,5,4,1,4,3600,13,No
1210,41,Research & Development,Research Scientist,Male,2,Divorced,3,1,1,1,2,No,5,1,0,0,0,2107,17,Yes
1211,30,Sales,Sales Executive,Male,4,Divorced,3,1,3,3,3,No,8,4,3,0,3,4115,19,No
1212,40,Sales,Sales Executive,Male,4,Married,3,2,2,3,2,No,5,0,0,0,0,4327,12,No
1215,50,Research & Development,Manager,Female,3,Married,4,1,4,3,3,No,32,2,2,2,2,17856,22,No
1216,28,Research & Development,Laboratory Technician,Male,4,Married,3,1,4,3,2,No,6,6,5,3,3,3196,12,No
1217,46,Research & Development,Research Director,Male,2,Married,3,2,4,3,2,No,25,4,2,0,3,19081,11,No
1218,35,Sales,Sales Executive,Male,4,Married,3,1,3,3,2,Yes,15,7,7,1,7,8966,15,No
1219,24,Research & Development,Laboratory Technician,Female,2,Married,3,2,4,1,3,No,1,1,0,0,0,2210,13,Yes
1220,33,Sales,Sales Executive,Female,3,Married,3,3,2,2,3,No,10,10,7,0,1,4539,12,No
1221,36,Research & Development,Laboratory Technician,Male,4,Divorced,3,3,3,3,4,No,7,7,7,1,7,2741,14,No
1224,30,Research & Development,Laboratory Technician,Male,4,Divorced,3,3,3,2,4,No,10,10,7,8,9,3491,13,No
1225,44,Research & Development,Research Scientist,Male,4,Single,4,4,4,3,3,No,20,20,11,13,17,4541,25,No
1226,20,Sales,Sales Representative,Male,3,Single,3,4,3,3,2,No,2,2,1,2,2,2678,17,No
1228,46,Research & Development,Manufacturing Director,Male,4,Divorced,3,4,4,2,3,No,12,6,3,1,4,7379,11,No
1231,42,Human Resources,Human Resources,Male,5,Married,3,1,4,4,3,No,10,4,3,0,3,6272,16,No
1233,60,Sales,Sales Executive,Male,4,Divorced,3,4,2,3,3,Yes,12,11,7,1,9,5220,18,No
1234,32,Research & Development,Laboratory Technician,Female,3,Married,4,2,3,3,2,No,2,2,2,2,2,2743,20,No
1235,32,Research & Development,Research Scientist,Female,2,Single,3,3,4,3,2,Yes,10,8,7,0,7,4998,14,No
1237,36,Research & Development,Manufacturing Director,Female,3,Divorced,4,1,3,3,2,Yes,17,7,7,7,7,10252,21,No
1238,33,Research & Development,Research Scientist,Male,3,Married,3,4,1,3,5,No,15,14,10,4,10,2781,13,No
1239,40,Sales,Sales Executive,Female,3,Divorced,3,2,2,4,2,No,7,5,1,1,3,6852,12,No
1240,25,Sales,Sales Executive,Male,4,Single,3,4,3,3,4,No,5,4,3,1,1,4950,14,No
1241,30,Research & Development,Research Scientist,Male,3,Married,4,2,4,3,2,Yes,12,11,9,5,7,3579,21,No
1242,42,Research & Development,Research Director,Female,5,Married,3,1,1,3,6,Yes,20,1,0,0,0,13191,17,No
1243,35,Sales,Sales Executive,Female,2,Married,3,4,3,2,6,Yes,16,13,2,4,12,10377,11,No
1244,27,Research & Development,Research Scientist,Male,3,Married,3,1,1,2,3,Yes,9,9,7,6,8,2235,14,No
1245,54,Research & Development,Manufacturing Director,Female,4,Divorced,3,3,4,1,2,No,33,5,4,1,4,10502,17,No
1246,44,Research & Development,Research Scientist,Female,1,Married,3,4,1,3,5,No,10,10,5,7,7,2011,13,No
1248,19,Research & Development,Research Scientist,Female,3,Single,4,2,1,4,2,Yes,1,1,1,0,0,1859,25,Yes
1249,29,Research & Development,Research Scientist,Female,3,Divorced,3,4,1,3,5,No,3,3,2,1,2,3760,15,No
1250,54,Research & Development,Research Director,Male,3,Married,3,4,4,3,2,No,36,10,9,0,9,17779,14,No
1251,31,Research & Development,Healthcare Representative,Male,2,Married,3,1,3,2,2,Yes,6,6,5,0,1,6833,12,No
1252,31,Research & Development,Healthcare Representative,Female,3,Single,3,1,3,3,2,No,10,10,9,1,8,6812,19,No
1254,59,Sales,Sales Executive,Female,3,Single,3,4,3,3,2,No,13,6,1,0,5,5171,17,No
1255,43,Research & Development,Research Director,Male,3,Married,3,4,3,3,2,No,25,8,7,0,7,19740,14,No
1256,49,Research & Development,Manager,Male,2,Married,3,3,1,4,2,No,23,1,0,0,0,18711,13,No
1257,36,Research & Development,Research Scientist,Male,3,Married,3,2,3,2,2,No,12,11,10,0,7,3692,12,No
1258,48,Research & Development,Laboratory Technician,Male,2,Single,3,2,4,2,4,No,7,1,0,0,0,2559,11,No
1259,27,Research & Development,Research Scientist,Male,2,Divorced,3,3,1,3,2,No,5,5,3,0,3,2517,11,No
1260,29,Research & Development,Healthcare Representative,Male,3,Divorced,3,4,3,3,2,Yes,6,6,0,1,0,6623,11,No
1263,48,Research & Development,Research Director,Male,3,Single,3,4,4,4,3,No,25,1,0,0,0,18265,12,No
1264,29,Research & Development,Research Director,Female,3,Divorced,3,4,4,2,2,No,9,7,7,1,7,16124,14,No
1265,34,Research & Development,Research Scientist,Female,3,Married,3,3,3,2,5,No,2,1,0,0,0,2585,17,No
1267,44,Sales,Manager,Male,3,Married,3,2,2,3,5,No,26,22,9,3,10,18213,11,No
1268,33,Sales,Sales Executive,Male,5,Divorced,3,3,4,3,3,Yes,10,9,8,0,8,8380,14,No
1269,19,Research & Development,Research Scientist,Female,3,Single,3,4,2,3,2,Yes,1,1,0,0,1,2994,12,No
1270,23,Research & Development,Research Scientist,Male,2,Married,4,3,4,3,2,No,1,1,0,0,1,1223,22,No
1273,25,Sales,Sales Representative,Male,1,Single,3,4,3,3,4,Yes,1,1,0,1,0,1118,14,Yes
1275,26,Research & Development,Research Scientist,Male,2,Single,4,4,3,2,2,Yes,8,8,5,2,2,2875,20,No
1277,45,Sales,Manager,Female,3,Single,3,2,1,3,2,Yes,26,24,10,1,11,18824,16,Yes
1278,55,Research & Development,Healthcare Representative,Male,1,Divorced,3,2,4,3,3,Yes,34,33,9,15,0,13577,15,No
1279,21,Research & Development,Laboratory Technician,Female,2,Single,4,3,1,1,2,No,2,2,2,2,2,2625,20,Yes
1280,46,Sales,Manager,Female,2,Married,3,2,4,3,2,No,26,11,4,0,8,18789,14,No
1281,34,Sales,Sales Executive,Female,3,Single,3,1,3,3,3,Yes,4,3,2,0,2,4538,12,No
1282,51,Sales,Manager,Male,3,Divorced,4,2,4,2,5,Yes,31,29,10,11,10,19847,24,No
1283,59,Research & Development,Manufacturing Director,Male,4,Single,3,4,4,2,6,No,25,9,7,5,4,10512,12,No
1285,34,Research & Development,Laboratory Technician,Female,3,Divorced,3,2,3,4,2,No,15,11,8,5,10,4444,13,No
1286,28,Research & Development,Laboratory Technician,Male,4,Single,3,3,4,2,2,Yes,5,4,2,0,2,2154,11,No
1288,44,Research & Development,Manager,Male,2,Divorced,3,1,3,2,4,No,26,25,9,14,13,19190,14,No
1289,34,Human Resources,Human Resources,Male,3,Married,3,2,3,4,5,No,14,10,9,1,8,4490,11,No
1291,35,Research & Development,Research Scientist,Male,1,Married,3,3,3,3,3,Yes,4,3,2,2,2,3506,14,No
1292,42,Research & Development,Research Scientist,Female,4,Married,3,2,2,3,2,Yes,18,1,0,0,0,2372,16,No
1293,43,Sales,Sales Executive,Female,4,Single,3,4,4,4,3,No,23,21,7,15,17,10231,14,No
1294,36,Research & Development,Manufacturing Director,Female,4,Single,3,2,3,3,2,Yes,18,16,14,5,12,5410,11,No
1295,44,Research & Development,Healthcare Representative,Female,3,Married,3,4,1,3,2,No,10,10,7,0,5,7978,11,Yes
1296,28,Research & Development,Laboratory Technician,Male,3,Married,3,4,4,3,2,Yes,2,2,2,2,2,3867,12,No
1297,51,Research & Development,Laboratory Technician,Female,2,Single,3,3,2,2,6,No,8,7,0,7,7,2838,14,No
1298,30,Research & Development,Manufacturing Director,Female,2,Single,3,3,3,3,3,Yes,10,8,4,1,7,4695,18,No
1299,29,Research & Development,Laboratory Technician,Female,3,Divorced,3,3,2,3,2,Yes,10,7,7,7,7,3339,13,Yes
1301,28,Research & Development,Research Scientist,Male,3,Single,3,1,4,2,2,No,5,3,2,1,2,2080,11,No
1303,25,Research & Development,Research Scientist,Female,3,Single,3,2,4,2,3,No,2,2,2,2,1,2096,18,No
1304,32,Sales,Sales Executive,Male,3,Married,3,4,3,4,4,No,10,10,7,0,8,6209,15,No
1306,45,Research & Development,Manager,Female,3,Single,4,2,2,3,4,No,22,0,0,0,0,18061,22,No
1307,39,Research & Development,Manager,Female,4,Divorced,3,2,3,3,4,Yes,21,19,9,15,2,17123,13,No
1308,58,Research & Development,Research Scientist,Male,4,Divorced,3,3,1,3,3,No,2,2,2,2,2,2372,12,No
1309,32,Research & Development,Laboratory Technician,Male,2,Married,3,3,4,3,3,No,10,10,4,1,1,4883,18,Yes
1310,39,Research & Development,Research Scientist,Male,3,Single,3,1,3,3,2,No,6,5,2,0,3,3904,13,Yes
1311,30,Research & Development,Laboratory Technician,Female,3,Married,3,4,1,3,6,No,10,9,2,6,7,4627,12,No
1312,36,Research & Development,Healthcare Representative,Female,4,Married,3,3,4,3,0,No,10,7,7,1,7,7094,12,No
1314,46,Human Resources,Human Resources,Female,2,Single,3,1,4,4,3,No,10,7,6,5,7,3423,12,No
1315,28,Research & Development,Laboratory Technician,Female,3,Married,3,4,3,3,6,No,10,9,8,7,5,6674,11,No
1317,50,Research & Development,Research Director,Female,3,Married,3,1,4,3,2,Yes,25,3,2,1,2,16880,11,No
1318,40,Sales,Sales Executive,Male,4,Single,3,2,4,3,2,Yes,9,5,4,1,0,9094,12,Yes
1319,52,Sales,Sales Executive,Male,3,Single,3,2,2,2,2,Yes,10,8,7,7,7,8446,19,Yes
1321,30,Research & Development,Manager,Female,4,Married,4,1,2,3,2,Yes,9,9,1,0,8,11916,23,No
1322,39,Research & Development,Manufacturing Director,Male,2,Single,3,3,1,3,6,No,9,8,7,1,7,4534,11,No
1324,31,Sales,Sales Executive,Female,4,Divorced,3,3,4,2,5,Yes,10,10,8,9,6,9852,19,No
1329,41,Sales,Sales Executive,Male,2,Single,3,2,3,3,4,No,19,19,2,11,9,6151,13,No
1331,31,Sales,Sales Representative,Female,3,Single,3,2,4,4,2,Yes,3,3,2,2,2,2302,11,Yes
1333,44,Research & Development,Laboratory Technician,Male,3,Married,3,1,1,4,4,No,10,3,2,1,2,2362,12,Yes
1334,42,Research & Development,Manager,Male,1,Married,3,3,3,2,3,Yes,21,20,8,2,10,17861,13,No
1336,55,Research & Development,Manager,Female,2,Married,3,3,4,3,5,No,23,19,9,9,11,19187,14,No
1338,56,Human Resources,Manager,Male,4,Single,3,2,4,3,4,No,36,7,3,7,7,19717,14,No
1340,40,Research & Development,Research Scientist,Male,2,Divorced,3,3,3,3,0,No,6,4,2,0,0,3544,16,No
1344,34,Research & Development,Healthcare Representative,Male,3,Divorced,3,4,4,2,0,No,10,9,7,1,6,8500,11,No
1346,40,Research & Development,Research Scientist,Male,3,Single,3,4,3,3,4,No,9,9,8,8,8,4661,13,No
1349,41,Sales,Sales Executive,Female,3,Divorced,3,1,3,3,2,No,10,9,3,1,7,4103,17,No
1350,35,Research & Development,Research Scientist,Male,4,Single,3,3,3,3,3,Yes,9,9,6,1,1,4249,11,No
1352,51,Human Resources,Manager,Male,3,Divorced,3,2,3,3,2,Yes,33,33,9,0,10,14026,11,No
1355,38,Sales,Sales Executive,Female,2,Divorced,3,1,2,3,3,No,11,7,7,1,7,6893,15,No
1356,34,Sales,Sales Executive,Female,2,Single,3,1,3,4,6,No,10,10,8,9,6,6125,12,No
1358,25,Research & Development,Laboratory Technician,Male,1,Married,3,4,4,2,6,No,7,3,2,1,2,3669,11,No
1360,58,Research & Development,Manufacturing Director,Female,4,Married,3,1,3,2,0,Yes,31,10,9,5,9,10008,14,Yes
1361,40,Research & Development,Laboratory Technician,Male,4,Married,4,2,2,3,3,No,7,4,2,0,3,2387,22,No
1362,36,Sales,Sales Executive,Female,3,Married,3,1,1,2,2,No,17,15,7,6,13,4639,16,No
1363,48,Research & Development,Manufacturing Director,Male,3,Single,3,4,4,3,2,No,11,10,9,0,8,7898,11,No
1364,27,Sales,Sales Representative,Female,3,Married,3,4,3,3,4,No,5,1,0,0,0,2534,14,No
1367,51,Research & Development,Manufacturing Director,Female,2,Single,3,2,4,2,1,No,29,5,2,0,3,13142,16,No
1368,18,Research & Development,Laboratory Technician,Female,3,Single,3,4,4,4,5,No,0,0,0,0,0,1611,15,No
1369,35,Research & Development,Laboratory Technician,Female,3,Married,3,4,4,3,0,No,10,9,7,0,0,5363,12,No
1371,27,Sales,Sales Executive,Male,1,Single,4,4,4,3,3,No,8,6,2,0,0,5071,20,No
1372,55,Sales,Sales Executive,Male,4,Single,3,3,1,2,2,Yes,24,19,7,3,8,13695,17,Yes
1373,56,Research & Development,Manufacturing Director,Male,3,Married,3,2,4,3,0,Yes,33,19,16,15,9,13402,12,No
1374,34,Research & Development,Research Scientist,Female,1,Divorced,4,3,1,3,2,No,5,5,4,0,0,2029,20,No
1375,40,Research & Development,Healthcare Representative,Female,1,Divorced,4,3,2,3,0,No,15,12,11,11,8,6377,20,No
1377,34,Research & Development,Laboratory Technician,Male,3,Married,3,3,2,3,1,No,10,8,7,7,7,5429,13,No
1379,31,Sales,Sales Representative,Female,3,Single,3,4,3,4,3,No,3,1,0,0,0,2785,14,Yes
1380,35,Sales,Sales Executive,Female,4,Married,3,3,4,2,0,Yes,5,4,2,3,2,4614,18,Yes
1382,38,Research & Development,Research Scientist,Male,3,Divorced,3,3,4,3,2,No,4,4,2,0,3,2610,11,No
1383,34,Research & Development,Healthcare Representative,Female,4,Single,3,4,3,4,2,No,14,14,11,4,11,6687,11,No
1387,28,Sales,Sales Executive,Male,3,Married,3,1,3,3,0,No,5,5,3,0,4,4724,11,No
1389,31,Research & Development,Manufacturing Director,Male,4,Married,3,3,4,2,3,Yes,10,10,2,6,7,6179,15,Yes
1390,39,Sales,Sales Executive,Male,4,Married,3,4,1,4,2,Yes,8,5,4,1,4,6120,12,No
1391,51,Sales,Sales Executive,Male,3,Married,3,2,2,3,5,No,14,4,2,3,2,10596,11,No
1392,41,Research & Development,Research Scientist,Female,3,Divorced,3,4,4,2,4,Yes,12,6,2,3,3,5467,14,No
1394,37,Research & Development,Research Scientist,Male,1,Married,3,3,3,3,2,Yes,8,6,4,1,3,2996,15,No
1395,33,Sales,Sales Executive,Male,1,Married,3,4,2,4,2,No,8,5,4,1,2,9998,13,No
1396,32,Sales,Sales Executive,Male,1,Married,3,2,3,2,3,Yes,4,3,2,1,2,4078,13,No
1397,39,Research & Development,Healthcare Representative,Male,2,Married,4,3,3,3,2,No,13,6,4,0,5,10920,21,No
